UF,Cidade,Índice
SC,Coronel Freitas,"7,50"
BA,Cristópolis,"7,50"
PR,Cruzeiro do Iguaçu,"7,50"
RS,Farroupilha,"7,50"
RS,Forquetinha,"7,50"
SP,Getulina,"7,50"
CE,Guaramiranga,"7,50"
SP,Guareí,"7,50"
GO,Guarinos,"7,50"
GO,Itapirapuã,"7,50"
CE,Jaguaretama,"7,50"
SE,Lagarto,"7,50"
SC,Lindóia do Sul,"7,50"
SP,Macatuba,"7,50"
PI,Massapê do Piauí,"7,50"
SC,Massaranduba,"7,50"
MG,Morada Nova de Minas,"7,50"
PR,Nova Santa Bárbara,"7,50"
RO,Novo Horizonte do Oeste,"7,50"
CE,Paraipaba,"7,50"
RN,Parnamirim,"7,50"
RS,Picada Café,"7,50"
MG,Piraúba,"7,50"
MG,Pompéu,"7,50"
RS,Relvado,"7,50"
TO,Santa Tereza do Tocantins,"7,50"
SC,São Bonifácio,"7,50"
MG,São Francisco de Paula,"7,50"
RJ,São José de Ubá,"7,50"
RS,Sarandi,"7,50"
MG,Sarzedo,"7,50"
MG,Sete Lagoas,"7,50"
MS,Terenos,"7,50"
SC,Três Barras,"7,50"
RS,Vitória das Missões,"7,50"
PB,Algodão de Jandaíra,"7,36"
MT,Alto Taquari,"7,36"
SP,Caraguatatuba,"7,36"
SC,Frei Rogério,"7,36"
MT,Indiavaí,"7,36"
MG,Lagoa Dourada,"7,36"
SP,Lorena,"7,36"
MT,Nova Canaã do Norte,"7,36"
SC,Nova Trento,"7,36"
BA,São Miguel das Matas,"7,36"
PB,Barra de Santa Rosa,"7,22"
SP,Casa Branca,"7,22"
SP,Fartura,"7,22"
PR,Francisco Beltrão,"7,22"
MS,Itaquiraí,"7,22"
PR,Londrina,"7,22"
AP,Macapá²,"7,22"
SP,Marabá Paulista,"7,22"
SP,Motuca,"7,22"
TO,Pedro Afonso,"7,22"
PR,Quatro Pontes,"7,22"
PE,São Bento do Una,"7,22"
SP,Bariri,"7,08"
RJ,Bom Jesus do Itabapoana,"7,08"
RS,Cacique Doble,"7,08"
PB,Catolé do Rocha,"7,08"
AL,Coruripe,"7,08"
SC,Doutor Pedrinho,"7,08"
MS,Maracaju,"7,08"
RS,Muçum,"7,08"
CE,Orós,"7,08"
PI,São João do Piauí,"7,08"
MS,Selvíria,"7,08"
CE,Tabuleiro do Norte,"7,08"
CE,Antonina do Norte,"6,94"
SP,Cunha,"6,94"
PR,Doutor Ulysses,"6,94"
GO,Edéia,"6,94"
PB,Gado Bravo,"6,94"
SP,Ipiguá,"6,94"
PR,Ivaiporã,"6,94"
PA,Jacareacanga,"6,94"
CE,Lavras da Mangabeira,"6,94"
