UF,Cidade,Índice
MG,Coromandel,"1,38"
CE,Cruz,"1,38"
TO,Dianópolis,"1,38"
MG,Diogo de Vasconcelos,"1,38"
PI,Dirceu Arcoverde,"1,38"
PI,Dom Inocêncio,"1,38"
MA,Dom Pedro,"1,38"
PR,Doutor Camargo,"1,38"
TO,Esperantina,"1,38"
MG,Estiva,"1,38"
SP,Estiva Gerbi,"1,38"
PI,Fartura do Piauí,"1,38"
PR,Faxinal,"1,38"
AC,Feijó,"1,38"
MS,Figueirão,"1,38"
RN,Florânia,"1,38"
PI,Flores do Piauí,"1,38"
SP,Francisco Morato,"1,38"
MG,Fronteira dos Vales,"1,38"
MT,Gaúcha do Norte,"1,38"
MA,Gonçalves Dias,"1,38"
MA,Governador Edison Lobão,"1,38"
MG,Grão Mogol,"1,38"
ES,Guaçuí,"1,38"
PI,Guaribas,"1,38"
RS,Harmonia,"1,38"
CE,Ibicuitinga,"1,38"
ES,Ibitirama,"1,38"
SP,Indiana,"1,38"
PR,Ipiranga,"1,38"
TO,Ipueiras,"1,38"
RR,Iracema,"1,38"
MA,Itaipava do Grajaú,"1,38"
SP,Itatinga,"1,38"
SP,Ituverava,"1,38"
AL,Japaratinga,"1,38"
AL,Joaquim Gomes,"1,38"
GO,Joviânia,"1,38"
AL,Jundiá,"1,38"
BA,Laje,"1,38"
SP,Leme,"1,38"
SP,Maracaí,"1,38"
AL,Maribondo,"1,38"
SP,Martinópolis,"1,38"
AL,Matriz de Camaragibe,"1,38"
RJ,Miguel Pereira,"1,38"
SP,Miracatu,"1,38"
RJ,Miracema,"1,38"
MA,Montes Altos,"1,38"
ES,Mucurici,"1,38"
MG,Muriaé,"1,38"
PI,Murici dos Portelas,"1,38"
BA,Mutuípe,"1,38"
PI,Nossa Senhora dos Remédios,"1,38"
MS,Nova Alvorada do Sul,"1,38"
GO,Nova Aurora,"1,38"
RN,Nova Cruz,"1,38"
TO,Novo Jardim,"1,38"
PA,Novo Repartimento,"1,38"
AL,Olho d'Agua Grande,"1,38"
GO,Ouro Verde de Goiás,"1,38"
PI,Padre Marcos,"1,38"
TO,Palmeirópolis,"1,38"
RS,Pantano Grande,"1,38"
PI,Paquetá,"1,38"
RN,Paraú,"1,38"
MA,Passagem Franca,"1,38"
PI,Patos do Piauí,"1,38"
PI,Pau D'Arco do Piauí,"1,38"
SE,Pedra Mole,"1,38"
PR,Perobal,"1,38"
AL,Piaçabuçu,"1,38"
SP,Pinhalzinho,"1,38"
AL,Piranhas,"1,38"
PR,Pitanga,"1,38"
BA,Planaltino,"1,38"
RN,Poço Branco,"1,38"
PA,Ponta de Pedras,"1,38"
AP,Pracuúba,"1,38"
BA,Prado,"1,38"
PB,Prata,"1,38"
RO,Presidente Médici,"1,38"
BA,Presidente Tancredo Neves,"1,38"
MG,Resplendor,"1,38"
BA,Rio do Antônio,"1,38"
MG,Romaria,"1,38"
RS,Rosário do Sul,"1,38"
SP,Rubiácea,"1,38"
SC,Salete,"1,38"
BA,Santa Brígida,"1,38"
MG,Santa Cruz de Minas,"1,38"
PR,Santa Mariana,"1,38"
MG,Santa Rita de Minas,"1,38"
SE,Santa Rosa de Lima,"1,38"
GO,Santa Tereza de Goiás,"1,38"
RJ,Santo Antônio de Pádua,"1,38"
MG,Santo Antônio do Grama,"1,38"
AL,São Brás,"1,38"
BA,São Domingos,"1,38"
PA,São Domingos do Araguaia,"1,38"
MT,São Félix do Araguaia,"1,38"
RO,São Francisco do Guaporé,"1,38"
MA,São Francisco do Maranhão,"1,38"
RN,São Gonçalo do Amarante,"1,38"
PE,São João,"1,38"
PE,São José da Coroa Grande,"1,38"
PI,São José do Divino,"1,38"
PI,São José do Piauí,"1,38"
SP,São Manuel,"1,38"
AL,São Miguel dos Campos,"1,38"
MG,São Pedro da União,"1,38"
PR,São Tomé,"1,38"
RO,Seringueiras,"1,38"
MS,Sete Quedas,"1,38"
SE,Simão Dias,"1,38"
MG,Tabuleiro,"1,38"
RN,Taipu,"1,38"
PR,Tamboara,"1,38"
PI,Tamboril do Piauí,"1,38"
SE,Telha,"1,38"
RN,Timbaúba dos Batistas,"1,38"
RS,Três Arroios,"1,38"
PE,Trindade,"1,38"
SP,Ubarana,"1,38"
BA,Umburanas,"1,38"
SP,Vargem Grande do Sul,"1,38"
GO,Varjão,"1,38"
PA,Xinguara,"1,38"
TO,Aurora do Tocantins,"1,25"
ES,Irupi,"1,25"
GO,Acreúna,"1,11"
CE,Alto Santo,"1,11"
RS,Amaral Ferrador,"1,11"
MA,Anajatuba,"1,11"
RN,Antônio Martins,"1,11"
MA,Apicum-Açu,"1,11"
MA,Araguanã,"1,11"
MG,Baependi,"1,11"
MA,Boa Vista do Gurupi,"1,11"
MA,Cachoeira Grande,"1,11"
AL,Cacimbinhas,"1,11"
MA,Centro do Guilherme,"1,11"
CE,Chorozinho,"1,11"
AL,Colônia Leopoldina,"1,11"
AL,Coqueiro Seco,"1,11"
BA,Filadélfia,"1,11"
MA,Fortuna,"1,11"
MA,Governador Nunes Freire,"1,11"
MA,Graça Aranha,"1,11"
SP,Ipuã,"1,11"
MA,Jenipapo dos Vieiras,"1,11"
MA,Junco do Maranhão,"1,11"
MA,Lago do Junco,"1,11"
MA,Loreto,"1,11"
MA,Luís Domingues,"1,11"
MA,Maranhãozinho,"1,11"
MA,Milagres do Maranhão,"1,11"
MA,Nova Colinas,"1,11"
MA,Nova Olinda do Maranhão,"1,11"
RS,Novo Barreiro,"1,11"
BA,Pedro Alexandre,"1,11"
MS,Rio Negro,"1,11"
MA,São João do Soter,"1,11"
MG,São João Nepomuceno,"1,11"
MG,Serra Azul de Minas,"1,11"
MG,Silvianópolis,"1,11"
BA,Souto Soares,"1,11"
PR,Terra Roxa,"1,11"
MA,Tufilândia,"1,11"
MA,Tuntum,"1,11"
MA,Turilândia,"1,11"
RN,Bento Fernandes,"0,83"
SE,Maruim,"0,83"
BA,Tremedal,"0,83"
CE,Carnaubal,"0,69"
BA,Potiraguá,"0,69"
PE,Araçoiaba,"0,56"
PA,Acará,"0,55"
BA,Belo Campo,"0,55"
MG,Bom Jesus da Penha,"0,55"
TO,Buriti do Tocantins,"0,55"
RS,Campo Bom,"0,55"
RN,Currais Novos,"0,55"
ES,Divino de São Lourenço,"0,55"
AL,Girau do Ponciano,"0,55"
RS,Riozinho,"0,55"
RJ,Saquarema,"0,55"
PE,Abreu e Lima,"0,00"
MT,Acorizal,"0,00"
AC,Acrelândia,"0,00"
GO,Adelândia,"0,00"
SP,Adolfo,"0,00"
PE,Afrânio,"0,00"
AL,Agua Branca,"0,00"
GO,Agua Fria de Goiás,"0,00"
PR,Agudos do Sul,"0,00"
MG,Alagoa,"0,00"
SP,Alfredo Marcondes,"0,00"
MG,Alfredo Vasconcelos,"0,00"
PA,Altamira,"0,00"
PR,Altamira do Paraná,"0,00"
MA,Alto Alegre do Maranhão,"0,00"
MT,Alto Paraguai,"0,00"
PR,Altônia,"0,00"
AP,Amapá,"0,00"
PR,Amaporã,"0,00"
RS,Ametista do Sul,"0,00"
SE,Amparo de São Francisco,"0,00"
TO,Ananás,"0,00"
BA,Andaraí,"0,00"
MG,Angelândia,"0,00"
BA,Anguera,"0,00"
BA,Antônio Gonçalves,"0,00"
MS,Antônio João,"0,00"
ES,Apiacá,"0,00"
PR,Apucarana,"0,00"
RS,Arambaré,"0,00"
SP,Arandu,"0,00"
RJ,Areal,"0,00"
CE,Arneiroz,"0,00"
CE,Assaré,"0,00"
TO,Augustinópolis,"0,00"
PA,Aveiro,"0,00"
MA,Axixá,"0,00"
MA,Bacabal,"0,00"
BA,Baianópolis,"0,00"
MA,Balsas,"0,00"
PA,Barcarena,"0,00"
RN,Barcelona,"0,00"
BA,Barra do Choça,"0,00"
RJ,Barra Mansa,"0,00"
BA,Barrocas,"0,00"
MS,Batayporã,"0,00"
CE,Baturité,"0,00"
MA,BelAgua,"0,00"
SP,Bertioga,"0,00"
PA,bidos,"0,00"
PR,Bocaiúva do Sul,"0,00"
SC,Bom Jardim da Serra,"0,00"
BA,Bom Jesus da Lapa,"0,00"
RS,Bom Princípio,"0,00"
GO,Bonfinópolis,"0,00"
MG,Bonfinópolis de Minas,"0,00"
MS,Bonito,"0,00"
MG,Bonito de Minas,"0,00"
MG,Borda da Mata,"0,00"
MG,Botumirim,"0,00"
RN,Brejinho,"0,00"
PE,Brejo da Madre de Deus,"0,00"
PA,Brejo Grande do Araguaia,"0,00"
MG,Bugre,"0,00"
PA,Bujaru,"0,00"
GO,Buriti de Goiás,"0,00"
RJ,Cabo Frio,"0,00"
GO,Cachoeira Alta,"0,00"
GO,Cachoeira Dourada,"0,00"
MG,Cachoeira Dourada,"0,00"
BA,Caetité,"0,00"
SP,Cafelândia,"0,00"
BA,Caldeirão Grande,"0,00"
BA,Camaçari,"0,00"
RS,Camaquã,"0,00"
PE,Camaragibe,"0,00"
MG,Cambuquira,"0,00"
MA,Campestre do Maranhão,"0,00"
SP,Campina do Monte Alegre,"0,00"
BA,Campo Formoso,"0,00"
CE,Campos Sales,"0,00"
MG,Canaã,"0,00"
AL,Canapi,"0,00"
BA,Canápolis,"0,00"
SP,Cândido Mota,"0,00"
SE,Canindé de São Francisco,"0,00"
BA,Cansanção,"0,00"
RR,Cantá,"0,00"
PR,Cantagalo,"0,00"
MA,Cantanhede,"0,00"
SE,Capela,"0,00"
MA,Capinzal do Norte,"0,00"
AC,Capixaba,"0,00"
MG,Caranaíba,"0,00"
RN,Caraúbas,"0,00"
SE,Carira,"0,00"
RJ,Carmo,"0,00"
RR,Caroebe,"0,00"
MA,Carutapera,"0,00"
CE,Cascavel,"0,00"
PE,Casinhas,"0,00"
GO,Castelândia,"0,00"
ES,Castelo,"0,00"
PE,Catende,"0,00"
BA,Catolândia,"0,00"
MG,Caxambu,"0,00"
MA,Central do Maranhão,"0,00"
PR,Cerro Azul,"0,00"
TO,Chapada de Areia,"0,00"
CE,Chaval,"0,00"
RO,Chupinguaia,"0,00"
GO,Cidade Ocidental,"0,00"
MG,Claro dos Poções,"0,00"
MA,Coelho Neto,"0,00"
PA,Colares,"0,00"
MA,Colinas,"0,00"
GO,Colinas do Sul,"0,00"
TO,Combinado,"0,00"
MG,Comendador Gomes,"0,00"
BA,Conde,"0,00"
RJ,Cordeiro,"0,00"
BA,Coribe,"0,00"
MG,Coronel Pacheco,"0,00"
MG,Couto de Magalhães de Minas,"0,00"
CE,Crato,"0,00"
PE,Cumaru,"0,00"
BA,Curaçá,"0,00"
AP,Cutias,"0,00"
GO,Damianópolis,"0,00"
MG,Descoberto,"0,00"
BA,Dias d'Ávila,"0,00"
BA,Dom Macedo Costa,"0,00"
RS,Dom Pedro de Alcântara,"0,00"
MS,Dourados,"0,00"
MG,Durandé,"0,00"
ES,Ecoporanga,"0,00"
SP,Elisiário,"0,00"
MG,Engenheiro Navarro,"0,00"
RS,Engenho Velho,"0,00"
RS,Erval Seco,"0,00"
RN,Espírito Santo,"0,00"
MA,Estreito,"0,00"
BA,Feira da Mata,"0,00"
RN,Felipe Guerra,"0,00"
MG,Felisburgo,"0,00"
RN,Fernando Pedroza,"0,00"
SP,Ferraz de Vasconcelos,"0,00"
BA,Formosa do Rio Preto,"0,00"
MG,Fortaleza de Minas,"0,00"
TO,Fortaleza do Tabocão,"0,00"
MA,Fortaleza dos Nogueiras,"0,00"
PR,Foz do Jordão,"0,00"
MG,Francisco Dumont,"0,00"
MG,Franciscópolis,"0,00"
PE,Frei Miguelinho,"0,00"
SE,Frei Paulo,"0,00"
SP,Gabriel Monteiro,"0,00"
MG,Galiléia,"0,00"
RN,Galinhos,"0,00"
SE,Gararu,"0,00"
MT,General Carneiro,"0,00"
CE,General Sampaio,"0,00"
MS,Glória de Dourados,"0,00"
MA,Godofredo Viana,"0,00"
MG,Goianá,"0,00"
RN,Goianinha,"0,00"
TO,Goiatins,"0,00"
CE,Granjeiro,"0,00"
RN,Grossos,"0,00"
CE,Guaiúba,"0,00"
RO,Guajará-Mirim,"0,00"
RJ,Guapimirim,"0,00"
MG,Guarani,"0,00"
MG,Guiricema,"0,00"
PA,Gurupá,"0,00"
GO,Heitoraí,"0,00"
BA,Heliópolis,"0,00"
PE,Ibimirim,"0,00"
BA,Ibirapuã,"0,00"
MG,Ibitiúra de Minas,"0,00"
SP,Ibiúna,"0,00"
CE,Icapuí,"0,00"
CE,Icó,"0,00"
BA,Igaporã,"0,00"
MA,Igarapé Grande,"0,00"
MS,Iguatemi,"0,00"
SP,Ilha Comprida,"0,00"
PR,Inajá,"0,00"
PR,Indianópolis,"0,00"
PA,Inhangapi,"0,00"
AL,Inhapi,"0,00"
MG,Inimutaba,"0,00"
CE,Ipu,"0,00"
SE,Itabi,"0,00"
BA,Itagi,"0,00"
BA,Itagimirim,"0,00"
BA,Itaguaçu da Bahia,"0,00"
PE,Itaíba,"0,00"
CE,Itaiçaba,"0,00"
CE,Itaitinga,"0,00"
PR,Itambaracá,"0,00"
BA,Itapebi,"0,00"
ES,Itapemirim,"0,00"
SP,Itapevi,"0,00"
CE,Itapipoca,"0,00"
SP,Itapirapuã Paulista,"0,00"
PE,Itapissuma,"0,00"
PE,Itaquitinga,"0,00"
BA,Itarantim,"0,00"
SP,Jaborandi,"0,00"
PA,Jacundá,"0,00"
RS,Jaguarão,"0,00"
RN,Jandaíra,"0,00"
MG,Januária,"0,00"
RN,Januário Cicco,"0,00"
SE,Japaratuba,"0,00"
PR,Japurá,"0,00"
PE,Jaqueira,"0,00"
RN,Jardim de Angicos,"0,00"
RN,Jardim de Piranhas,"0,00"
PR,Jardim Olinda,"0,00"
MG,Jequeri,"0,00"
AL,Jequiá da Praia,"0,00"
MG,Jesuânia,"0,00"
RN,João Câmara,"0,00"
ES,João Neiva,"0,00"
MG,Joaquim Felício,"0,00"
PR,Joaquim Távora,"0,00"
RN,José da Penha,"0,00"
MG,José Gonçalves de Minas,"0,00"
MA,Joselândia,"0,00"
BA,Jucuruçu,"0,00"
RN,Jundiá,"0,00"
AL,Junqueiro,"0,00"
PE,Jupi,"0,00"
PE,Jurema,"0,00"
MA,Lago Verde,"0,00"
RN,Lagoa de Velhos,"0,00"
TO,Lagoa do Tocantins,"0,00"
MS,Laguna Carapã,"0,00"
BA,Lajedo do Tabocal,"0,00"
AP,Laranjal do Jari,"0,00"
BA,Lençóis,"0,00"
GO,Leopoldo de Bulhões,"0,00"
MG,Liberdade,"0,00"
BA,Licínio de Almeida,"0,00"
SP,Lucélia,"0,00"
RN,Lucrécia,"0,00"
GO,Luziânia,"0,00"
BA,Macajuba,"0,00"
PA,Magalhães Barata,"0,00"
MA,Maracaçumé,"0,00"
MA,Marajá do Sena,"0,00"
CE,Maranguape,"0,00"
PA,Marapanim,"0,00"
RN,Marcelino Vieira,"0,00"
BA,Marcionílio Souza,"0,00"
AC,Marechal Thaumaturgo,"0,00"
PR,Maria Helena,"0,00"
PR,Marilena,"0,00"
PR,Marmeleiro,"0,00"
PR,Marquinho,"0,00"
CE,Martinópole,"0,00"
RN,Martins,"0,00"
PR,Marumbi,"0,00"
PB,Maturéia,"0,00"
BA,Medeiros Neto,"0,00"
RJ,Mendes,"0,00"
SP,Miguelópolis,"0,00"
MG,Minas Novas,"0,00"
MA,Mirador,"0,00"
MA,Mirinzal,"0,00"
MG,Moeda,"0,00"
MA,Monção,"0,00"
MG,Montalvânia,"0,00"
RN,Montanhas,"0,00"
RN,Monte das Gameleiras,"0,00"
MG,Monte Sião,"0,00"
MG,Montezuma,"0,00"
PR,Moreira Sales,"0,00"
PR,Morretes,"0,00"
CE,Morrinhos,"0,00"
MS,Mundo Novo,"0,00"
BA,Muquém de São Francisco,"0,00"
BA,Nazaré,"0,00"
PE,Nazaré da Mata,"0,00"
AM,Nhamundá,"0,00"
MA,Nina Rodrigues,"0,00"
SE,Nossa Senhora Aparecida,"0,00"
PR,Nossa Senhora das Graças,"0,00"
SE,Nossa Senhora de Lourdes,"0,00"
BA,Nova Canaã,"0,00"
GO,Nova Iguaçu de Goiás,"0,00"
MA,Nova Iorque,"0,00"
RS,Nova Santa Rita,"0,00"
PA,Nova Timboteua,"0,00"
TO,Novo Alegre,"0,00"
SP,Ocauçu,"0,00"
AP,Oiapoque,"0,00"
AL,Olho d'Agua das Flores,"0,00"
AL,Olho d'Agua do Casado,"0,00"
MG,Olhos-d'Agua,"0,00"
SP,Osvaldo Cruz,"0,00"
PA,Ourilândia do Norte,"0,00"
AL,Ouro Branco,"0,00"
PA,Pacajá,"0,00"
MG,Paiva,"0,00"
PR,Palmital,"0,00"
SP,Panorama,"0,00"
AL,Pão de Açúcar,"0,00"
RJ,Paracambi,"0,00"
MA,Paraibano,"0,00"
CE,Parambu,"0,00"
PR,Paranapoema,"0,00"
BA,Paratinga,"0,00"
AL,Paripueira,"0,00"
RN,Passagem,"0,00"
RJ,Paty do Alferes,"0,00"
RN,Pau dos Ferros,"0,00"
MG,Paulistas,"0,00"
BA,Pé de Serra,"0,00"
RN,Pedra Preta,"0,00"
SE,Pedrinhas,"0,00"
RN,Pedro Avelino,"0,00"
ES,Pedro Canário,"0,00"
SC,Pescaria Brava,"0,00"
PA,Piçarra,"0,00"
MG,Pimenta,"0,00"
CE,Pindoretama,"0,00"
SE,Pinhão,"0,00"
MG,Pintópolis,"0,00"
AC,Plácido de Castro,"0,00"
SE,Poço Verde,"0,00"
ES,Ponto Belo,"0,00"
RN,Portalegre,"0,00"
MG,Porteirinha,"0,00"
AC,Porto Acre,"0,00"
PR,Porto Amazonas,"0,00"
SE,Porto da Folha,"0,00"
AL,Porto de Pedras,"0,00"
AP,Porto Grande,"0,00"
MS,Porto Murtinho,"0,00"
CE,Potiretama,"0,00"
RN,Pureza,"0,00"
PR,Quitandinha,"0,00"
RN,Rafael Fernandes,"0,00"
PR,Rancho Alegre D'Oeste,"0,00"
PA,Redenção,"0,00"
SP,Redenção da Serra,"0,00"
PR,Reserva do Iguaçu,"0,00"
RN,Riacho de Santana,"0,00"
SP,Ribeira,"0,00"
BA,Ribeira do Pombal,"0,00"
SP,Ribeirão Corrente,"0,00"
SE,Ribeirópolis,"0,00"
ES,Rio Bananal,"0,00"
RN,Rio do Fogo,"0,00"
MG,Rio Espera,"0,00"
MG,Rio Preto,"0,00"
GO,Rio Verde,"0,00"
RN,Rodolfo Fernandes,"0,00"
PR,Rondon,"0,00"
PA,Rondon do Pará,"0,00"
AL,Roteiro,"0,00"
SP,Sabino,"0,00"
SP,Sagres,"0,00"
MA,Sambaíba,"0,00"
GO,Santa Bárbara de Goiás,"0,00"
RS,Santa Clara do Sul,"0,00"
PR,Santa Cruz de Monte Castelo,"0,00"
BA,Santa Inês,"0,00"
MA,Santa Luzia,"0,00"
SE,Santa Luzia do Itanhy,"0,00"
AL,Santa Luzia do Norte,"0,00"
RJ,Santa Maria Madalena,"0,00"
MG,Santa Rita de Ibitipoca,"0,00"
TO,Santa Rita do Tocantins,"0,00"
SP,Santa Salete,"0,00"
BA,Santa Teresinha,"0,00"
PR,Santa Tereza do Oeste,"0,00"
BA,Santaluz,"0,00"
AP,Santana,"0,00"
SP,Santana de Parnaíba,"0,00"
PA,Santana do Araguaia,"0,00"
MG,Santana do Riacho,"0,00"
SE,Santana do São Francisco,"0,00"
PA,Santarém,"0,00"
BA,Santo Amaro,"0,00"
MG,Santo Antônio do Rio Abaixo,"0,00"
PR,Santo Antônio do Sudoeste,"0,00"
RN,São Bento do Norte,"0,00"
RN,São Bento do Trairí,"0,00"
PA,São Caetano de Odivelas,"0,00"
MA,São Domingos do Azeitão,"0,00"
PA,São Domingos do Capim,"0,00"
RO,São Felipe D'Oeste,"0,00"
BA,São Félix do Coribe,"0,00"
RN,São Fernando,"0,00"
RJ,São Francisco de Itabapoana,"0,00"
RN,São Francisco do Oeste,"0,00"
PA,São Francisco do Pará,"0,00"
RS,São Gabriel,"0,00"
PA,São Geraldo do Araguaia,"0,00"
MG,São João Batista do Glória,"0,00"
RR,São João da Baliza,"0,00"
RJ,São João da Barra,"0,00"
PA,São João da Ponta,"0,00"
MG,São João das Missões,"0,00"
MA,São João do Carú,"0,00"
PR,São Jorge d'Oeste,"0,00"
MG,São José da Lapa,"0,00"
RN,São José do Campestre,"0,00"
RS,São José do Sul,"0,00"
PR,São José dos Pinhais,"0,00"
MA,São Mateus do Maranhão,"0,00"
RN,São Miguel,"0,00"
SP,São Miguel Arcanjo,"0,00"
RN,São Miguel do Gostoso,"0,00"
RN,São Pedro,"0,00"
AL,São Sebastião,"0,00"
RN,São Vicente,"0,00"
MG,São Vicente de Minas,"0,00"
PA,Sapucaia,"0,00"
PR,Saudade do Iguaçu,"0,00"
BA,Seabra,"0,00"
PI,Sebastião Leal,"0,00"
RN,Senador Elói de Souza,"0,00"
PA,Senador José Porfírio,"0,00"
MG,Serra da Saudade,"0,00"
RN,Serra de São Bento,"0,00"
MG,Serra do Salitre,"0,00"
MG,Serrania,"0,00"
PE,Serrita,"0,00"
PR,Sertaneja,"0,00"
RN,Severiano Melo,"0,00"
MG,Silveirânia,"0,00"
PE,Sirinhaém,"0,00"
BA,Sítio do Quinto,"0,00"
RN,Sítio Novo,"0,00"
BA,Sobradinho,"0,00"
MS,Sonora,"0,00"
ES,Sooretama,"0,00"
PR,Tamarana,"0,00"
RN,Tangará,"0,00"
PI,Tanque do Piauí,"0,00"
RS,Taquara,"0,00"
SP,Taquarivaí,"0,00"
AP,Tartarugalzinho,"0,00"
SP,Tarumã,"0,00"
CE,Tejuçuoca,"0,00"
RN,Tenente Laurentino Cruz,"0,00"
PA,Terra Alta,"0,00"
BA,Terra Nova,"0,00"
RN,Tibau,"0,00"
MT,Torixoréu,"0,00"
RN,Touros,"0,00"
PA,Tracuateua,"0,00"
RJ,Trajano de Morais,"0,00"
MG,Ubaporanga,"0,00"
CE,Umirim,"0,00"
RS,União da Serra,"0,00"
PA,Uruará,"0,00"
BA,Uruçuca,"0,00"
RO,Vale do Paraíso,"0,00"
RS,Vale Verde,"0,00"
MA,Vargem Grande,"0,00"
MG,Varjão de Minas,"0,00"
BA,Várzea do Poço,"0,00"
RN,Vera Cruz,"0,00"
MA,Viana,"0,00"
GO,Vicentinópolis,"0,00"
PA,Vigia,"0,00"
ES,Vila Valério,"0,00"
RO,Vilhena,"0,00"
MG,Virgínia,"0,00"
PE,Vitória de Santo Antão,"0,00"
AP,Vitória do Jari,"0,00"
PA,Vitória do Xingu,"0,00"
BA,Wagner,"0,00"
BA,Wenceslau Guimarães,"0,00"
RS,Xangri-lá,"0,00"
