id,cd_orgao,nr_licitacao,ano_licitacao,vl_licitacao,indicador1,indicador2
80,54901,7,2016,431190.00,0.834779,0
81,79100,2,2016,40000.00,0.67525,0
82,58200,4,2016,52000.00,0.961538,1
83,58200,5,2016,7200.00,0.95,1
84,64100,2,2016,40509.90,0.878008,0
85,64100,3,2016,6720.00,2.97619e-06,0
86,54901,12,2016,9811.45,0.575858,0
87,54901,8,2016,179.50,0.880223,0
88,78000,6,2016,14500.00,0.997531,0
89,44500,9,2016,9161235.00,0.935511,1
90,45004,33,2016,467293.65,0.665143,0
91,47700,5,2016,660937.47,0.800373,1
92,58200,6,2016,64698.00,0.99694,1
93,63900,16,2016,12300.00,1.34146,0
94,75500,6,2016,17800.00,0.808989,0
95,82400,3,2016,269334.10,0.704102,0
96,45700,1,2016,13200.00,1.0,1
97,49201,8,2016,48835.50,0.982892,0
98,84100,38,2016,42480.00,1.0053,0
99,88048,1,2016,910177.62,1.0,1
100,63900,17,2016,280000.00,1.0,0
101,49201,7,2016,44833.33,0.932342,0
102,88024,3,2016,288824.10,0.984528,0
103,88026,8,2016,22461.80,0.997209,1
104,86800,7,2016,78540.60,1.0,1
105,47700,24,2016,501110.00,0.84789,0
106,71500,5,2016,296729.13,0.999924,1
107,51600,12016,2016,35000.00,0.961309,1
108,88021,2,2016,221350.16,0.995183,0
109,45200,7,2016,76993.00,0.918915,0
110,78100,21,2016,12025.00,1.0,1
111,82300,1,2016,388.83,0.968289,1
112,49201,13,2016,22849.76,0.97,0
113,62900,5,2016,36928.53,0.98321,0
114,47700,25,2016,8984.52,0.667815,0
115,42200,7,2016,199396.72,1.0,1
116,44700,26,2016,29000.00,0.637931,0
117,88029,21,2016,32500.00,1.0,0
118,84100,43,2016,26100.00,0.395206,0
119,44700,42,2016,16100.00,0.434783,0
120,61900,3,2016,155158.40,0.9399,0
121,44700,43,2016,3000.00,1.0,0
122,55601,4,2016,24000.00,0.922913,0
123,77200,5,2016,2740250.29,1.0,1
124,71800,3,2016,251250.00,0.999996,1
125,88225,5,2016,80000.00,0.8937,0
126,58400,38,2016,8430.00,0.86669,0
127,42800,2484,2016,1.76,0.778409,0
128,82300,8,2016,32461.60,0.770141,0
129,44700,30,2016,17581.84,1.0,0
130,77900,4,2016,63495.00,1.0,0
131,57701,4,2016,10640.00,0.845875,1
132,88047,7,2016,10000.00,0.7019,0
133,44700,31,2016,55215.37,0.825857,0
134,47500,11,2016,188100.00,0.854864,0
135,83300,20,2016,16767.00,0.477128,0
136,53100,3,2016,489347.91,0.998958,1
137,45700,7,2016,256748.72,0.999655,0
138,63700,38,2016,7208.04,0.999983,0
139,44700,33,2016,30827.41,1.0,0
140,63900,8,2016,189504.00,0.752212,0
141,88029,22,2016,3800.00,0.855263,0
142,71500,4,2016,58897.15,0.939697,1
144,51400,1,2016,3424268.88,1.03478,0
145,42800,2487,2016,1098675.11,0.994692,1
146,62700,16,2016,4189005.14,0.998818,1
147,86800,6,2016,187539.69,0.618003,1
148,44500,11,2016,100740521.08,0.803658,0
149,84100,40,2016,6000.00,0.724167,1
150,62700,11,2016,989500.00,0.982973,1
151,55601,11,2016,2650.00,1.03774,1
152,59600,7,2016,111.66,0.895576,1
153,56200,3,2016,316072.11,0.999001,1
154,84201,2,2016,52800.00,0.920455,0
155,55700,52,2016,20153.02,0.833076,0
156,51000,3,2016,83000.00,0.831325,1
158,50900,1,2016,8445.84,1.0,1
159,54000,6,2016,433668.20,0.801765,0
160,70400,4,2016,2450.00,0.979571,0
161,83300,19,2016,27092.00,0.848976,0
162,72800,20,2016,22000.00,0.983273,0
163,61200,30,2016,116350.56,0.40739,0
164,53400,33,2016,593544.00,0.846306,0
165,44700,35,2016,40890.00,0.929323,0
166,81000,14,2016,79602.05,0.999373,1
167,40300,9,2016,10081.50,1.0,1
168,88032,1,2016,245532.93,0.999968,1
169,40401,11,2016,1436.05,0.999937,0
170,78200,1,2016,256746.62,0.833189,0
