,vl_licitacao,indicador1,indicador2,indicador3,indicador4,Id,Prob,Grupo
1790,"107.000,00","0,8224",0,"0,0000",0,1885,"0,0934",1
1791,"152.000,00","0,9934",0,"0,0000",0,1886,"0,1086",1
1792,"940.000,00","0,7064",0,"0,0000",0,1887,"0,0129",1
1793,"61.500,00","0,9974",0,"0,0000",0,1888,"0,2915",1
1794,"59.500,00","0,7479",0,"0,0000",0,1889,"0,1043",1
1795,"70.000,00","0,7143",0,"0,0000",0,1890,"0,0940",1
1796,"34.000,00","0,9412",0,"0,0000",0,1891,"0,2391",1
1797,"300.000,00","0,9997",0,"0,0000",0,1892,"0,0686",1
1798,"14.900,00","0,6980",0,"0,0000",0,1893,"0,1036",1
1799,"20.000,00","0,8400",0,"0,0000",0,1894,"0,1776",1
1800,"150.000,00","0,6933",0,"0,0000",0,1895,"0,0510",1
1801,"207.150,00","0,8665",0,"0,0000",0,1896,"0,0731",1
1802,"15.000,00","0,7833",0,"0,0000",0,1897,"0,1481",1
1803,"713.639,00","0,7385",0,"0,0000",0,1898,"0,0178",1
1804,"136.557,69","0,8284",0,"0,0000",0,1899,"0,0794",1
1805,"131.447,66","1,0000",1,"0,0000",0,1900,"1,0000",3
1806,"32.086,80","0,9919",0,"0,0000",0,1901,"0,5098",1
1807,"34.587,00","0,7228",0,"0,0000",0,1903,"0,1225",1
1808,"7.501,50","0,9876",1,"0,0000",0,1904,"1,0000",3
1809,"181.900,00","0,3568",0,"0,0000",0,1905,"0,0257",1
1810,"7.200,00","0,9750",0,"0,0000",0,1906,"0,3020",1
1811,"5.639,14","0,9938",0,"0,0000",0,1907,"0,6617",1
1812,"246.805,20","1,0000",0,"0,5100",0,1908,"0,0000",-1
1813,"78.886,81","0,7000",0,"0,0000",0,1909,"0,0819",1
1814,"125.341,60","0,4360",1,"0,0000",0,1910,"0,1780",3
1815,"396.000,00","0,6402",1,"0,0000",0,1911,"0,1613",3
1816,"12.010,00","0,9326",0,"0,0000",0,1912,"0,2340",1
1817,"2.420,00","0,8678",0,"0,7900",0,1913,"0,0000",-1
1818,"51.455,06","0,8943",0,"0,0000",0,1914,"0,1681",1
1819,"40.918,00","1,0000",1,"0,0000",0,1915,"1,0000",3
1820,"104.843,00","0,8580",0,"0,5000",0,1916,"0,0000",-1
1821,"24.020,60","1,0000",1,"0,7500",0,1917,"1,0000",4
1822,"56.000,00","0,9773",1,"0,0000",0,1918,"1,0000",3
1823,"120.600,00","1,0000",1,"0,0000",0,1919,"1,0000",3
1824,"49.264,91","0,8813",0,"0,0000",0,1920,"0,1588",1
1825,"27.591,22","0,8805",0,"0,7900",0,1921,"0,0000",-1
1826,"79.510,00","0,9898",1,"0,0000",0,1922,"1,0000",3
1827,"79.999,98","0,9961",0,"0,0000",0,1923,"0,2306",1
1828,"24.000,00","0,9937",0,"0,8800",0,1924,"0,0000",-1
1829,"170.000,00","0,8529",0,"0,0000",0,1925,"0,0713",1
1830,"100.520,74","0,8402",0,"0,0000",0,1929,"0,0980",1
1831,"3.233,72","0,8470",0,"0,0000",0,1930,"0,1444",1
1832,"300.000,00","1,0000",0,"0,0000",0,1931,"0,0686",1
1833,"198.227,00","0,9648",0,"0,0000",0,1932,"0,0904",1
1834,"324.908,68","0,9966",1,"0,6000",0,1934,"1,0000",4
1835,"14.519,20","0,9601",0,"0,6000",0,1935,"0,0654",7
