id,cd_orgao,nr_licitacao,ano_licitacao,cd_tipo_modalidade,vl_licitacao,indicador1,indicador2,indicador3,indicador4
7380,54000,5,2017,TMP,66895.03,0.94868529,0,0.49000001,0
7381,42800,2701,2018,TMP,247325.33,0.99988091,1,0.0,0
7384,42800,2678,2018,TMP,84743.24,0.93451679,0,0.0,0
7385,56900,10,2018,TMP,307445.23,1.0,1,0.5,0
7387,56900,13,2018,TMP,100536.00,0.94903558,0,0.5,0
7391,900,5,2017,TMP,1219759.86,0.81683844,0,0.0,0
7403,62500,100003,2017,CNC,333013.53,1.0,0,0.0,0
7407,56500,1,2018,TMP,26936.73,0.99786687,1,0.0,1
7409,73100,5,2017,TMP,24290.65,0.83573514,0,0.22,0
7416,79200,5,2017,TMP,147772.81,0.80500019,0,0.0,0
7420,71500,6,2018,TMP,61069.98,0.87595099,0,0.0,0
7424,40600,9,2018,TMP,266399.64,0.97984308,1,0.0,0
7425,62500,3,2018,TMP,56437.50,0.95356441,1,0.0,0
7427,50100,18,2018,TMP,11702.25,0.99896258,1,0.0,0
7428,43900,4,2017,TMP,101904.78,0.69672883,1,0.06,0
7429,48000,4,2018,CNV,19956.20,0.82773423,0,0.0,0
7430,43900,5,2017,TMP,202081.12,0.79176122,1,0.06,0
7431,58200,13,2018,TMP,43355.58,1.0,1,0.0,0
7432,8700,32,2017,CNC,3091943.56,0.86575896,0,0.0,0
7433,58200,11,2018,TMP,52357.23,0.96586472,0,0.0,0
7441,41700,5,2018,TMP,46550.15,0.82491869,1,0.0,0
7447,51200,9,2017,CNC,266600.00,0.90096027,0,0.0,0
7452,42100,10,2017,CNC,168357.99,0.8199088,0,0.0,0
7457,78201,2,2018,TMP,947755.36,0.95739758,1,0.0,0
7459,80300,1,2018,TMP,250000.00,0.87002498,1,0.56999999,0
7461,49001,1,2017,TMP,299643.96,0.90009803,0,0.0,0
7462,84600,5,2018,TMP,55689.96,0.87950826,0,0.0,0
7464,84600,7,2018,TMP,312271.04,0.88964742,1,0.0,0
7468,72600,3,2018,TMP,11.00,1000.0,0,0.0,0
7470,58200,20,2018,TMP,132586.41,0.84053576,1,0.0,0
7471,58200,19,2018,TMP,294933.14,0.84020281,1,0.0,0
7478,63400,10,2018,TMP,0.13,1000.0,1,0.61000001,1
7479,44101,1,2017,CNV,13564.12,0.90309584,1,0.25,0
7480,63400,9,2018,TMP,50771.51,0.84410077,1,0.61000001,1
7481,63400,8,2018,TMP,4106.33,0.89874655,0,0.61000001,1
7483,45900,7,2017,TMP,31067.03,0.84905893,0,0.0,0
7486,63400,7,2018,TMP,3776.02,0.90934634,1,0.61000001,1
7490,51200,9,2017,TMP,483401.83,0.80999368,0,0.0,0
7492,51200,6,2017,CNV,20766.66,1.09348345,0,0.0,0
7495,46800,9,2018,TMP,59753.96,0.94000012,1,0.28,1
7497,46800,6,2018,TMP,19824.33,0.99945873,1,0.28,1
7499,76200,5,2018,TMP,37573.11,0.99989885,1,0.0,0
7501,76200,3,2018,TMP,284552.89,0.84977782,0,0.0,0
7502,42100,9,2017,CNC,522210.20,0.99911809,1,0.0,0
7507,43600,1001,2018,TMP,73038.37,1.0,1,0.0,1
7520,88319,7,2018,CNC,7600.00,0.9868421,1,0.0,0
7526,88319,2,2018,CNC,279410.11,0.8273949,0,0.0,0
7528,43900,9,2017,TMP,49386.60,0.66601586,1,0.06,0
7530,43900,8,2017,TMP,181886.86,0.78911799,1,0.06,0
7532,43900,7,2017,TMP,266778.07,0.98644358,1,0.06,0
7542,74400,13,2018,TMP,149776.65,1.0,1,0.0,0
7543,51000,9,2017,TMP,69338.75,1.00008881,1,0.28,0
7547,78800,5,2018,TMP,41370.46,0.80064183,0,0.75,0
7549,86000,7,2017,TMP,55459.75,0.9000001,0,0.0,0
7550,60100,3,2018,CNC,3392519.95,0.88978899,1,0.75,0
7552,60100,21,2018,TMP,35379.51,0.93988979,1,0.75,0
7553,48500,23,2018,CNC,95685.21,0.87573618,1,0.0,0
7560,73000,4,2017,TMP,21171.17,0.99766523,1,0.19,1
7561,46700,10,2017,TMP,378852.40,0.86854023,0,0.0,0
7562,43900,18,2018,TMP,642636.57,0.8348,1,0.06,0
7564,43900,23,2018,TMP,68740.65,0.94458085,1,0.06,0
7565,43900,29,2018,TMP,21188.88,0.99997926,1,0.06,0
7566,54400,4,2017,CNV,44804.02,0.81003088,1,0.0,0
7567,43900,31,2018,TMP,444991.99,0.81838417,1,0.06,0
7569,43900,3,2018,TMP,363728.55,0.76054722,1,0.06,0
7575,75200,2,2017,TMP,257427.13,0.87798685,0,0.0,1
7576,55000,1,2018,TMP,77519.13,0.99913985,1,0.0,0
7582,51300,23,2018,TMP,45883.53,0.89500004,1,0.0,0
7584,51300,11,2018,TMP,356475.37,0.82989997,1,0.0,0
7587,51300,8,2018,CNC,2700472.26,0.75504589,0,0.0,0
7588,44600,3,2018,CNC,321723.66,1.0,1,0.0,0
7590,44600,2,2018,TMP,214892.70,1.0,1,0.0,0
7592,63400,14,2018,TMP,230658.51,0.84998173,0,0.61000001,0
7597,70100,9,2017,TMP,542719.69,0.98165315,0,0.88,0
7598,43000,13,2018,CNC,212127.77,0.94971043,1,0.0,0
7600,53900,100,2017,TMP,128315.47,0.84999543,0,0.0,1
7601,43000,4,2018,CNC,448935.23,0.88176656,1,0.0,0
7602,42100,5,2017,TMP,125148.71,0.95331889,1,0.0,0
7603,83700,48,2018,TMP,91441.15,0.99788916,1,0.0,0
7604,83700,46,2018,TMP,65780.55,0.97175866,1,0.0,0
7609,78901,1,2018,TMP,139777.13,0.99979866,1,0.0,0
7610,50100,38,2018,TMP,898981.90,0.69355857,1,0.0,0
7613,51300,41,2017,PRP,26810.89,0.96975517,0,0.0,0
7614,46900,1,2018,TMP,46517.84,0.83583266,0,0.0,0
7618,57700,3,2017,TMP,122368.09,1.0,1,0.0,0
7621,55500,5,2018,CNC,31835.40,0.93400019,1,0.49000001,0
7627,47800,16,2017,TMP,7400.79,0.9716422,0,0.75,1
7629,47800,15,2017,TMP,438404.42,0.7676,0,0.75,0
7633,80501,1,2018,TMP,71371.18,0.99957657,1,0.0,0
7634,48000,13,2017,TMP,279632.00,0.85748672,0,0.0,0
7640,61100,3,2017,TMP,257775.81,0.9983108,1,0.0,0
7646,56700,8,2017,TMP,313354.35,0.86996502,1,0.0,0
7655,45500,1,2017,TMP,260001.89,0.99935907,1,0.0,0
7662,74500,16,2017,TMP,66778.63,0.9999792,0,0.0,0
7670,72000,5,2018,TMP,16289.62,0.9968698,1,0.0,0
7672,72000,1,2018,TMP,74424.29,0.77939475,1,0.0,0
7678,42401,1,2017,TMP,299756.16,0.77664453,0,0.0,0
7681,51000,8,2017,TMP,405867.77,0.99997002,1,0.28,0
7682,72800,5,2018,TMP,54842.79,0.89142162,0,0.0,0
7685,59900,1,2018,CNV,75548.47,1.0,0,0.0,0
7686,67700,8,2017,TMP,166367.03,0.9423992,0,0.0,0
7687,60400,14,2018,TMP,598803.56,0.71439743,0,0.61000001,0
7698,65000,14,2018,TMP,108346.68,1.0,1,0.0,0
7703,61200,18,2018,TMP,337970.57,0.84399998,1,0.0,0
7704,42800,2622,2017,TMP,81000.53,0.90826219,1,0.0,0
7705,61200,15,2018,TMP,292670.01,0.86399007,1,0.0,0
7709,40500,6,2017,TMP,408000.00,0.73493004,0,0.0,0
7711,67800,7,2017,TMP,281727.41,1.0,1,0.14,0
7728,64101,1,2017,TMP,160179.19,0.92349142,0,0.0,0
