,Id,Grupo,Prob
162,169,0,1.0
163,170,1,0.07046318268787104
164,171,-1,0.0
165,172,-1,0.0
166,173,-1,0.0
167,174,6,1.0
168,175,-1,0.0
169,176,1,0.1096798291882621
170,177,-1,0.0
171,178,3,0.0004778346263299769
172,179,3,0.0004778464484613779
173,180,1,0.004384870988392524
174,181,-1,0.0
175,182,5,1.0
176,183,-1,0.0
177,184,1,1.0
178,185,6,1.0
179,186,-1,0.0
180,187,5,1.0
181,188,1,0.5539984474590852
182,189,-1,0.0
183,190,1,0.21334409245282465
184,191,3,0.35860214741828833
185,192,1,0.15752472732342518
186,193,1,0.13465746934366105
187,194,3,1.0
188,195,3,1.0
189,196,5,1.0
190,197,-1,0.0
191,198,3,1.0
192,199,3,0.9390019909160896
193,200,3,0.6996400189320565
194,201,6,1.0
195,202,1,0.18103724024642495
196,203,1,0.2832236136373338
197,204,3,0.9338680688399764
198,205,3,0.00047784956340783197
199,206,3,1.0
200,207,3,1.0
201,208,5,1.0
202,209,1,0.18203090068276181
203,210,1,0.07231293684088663
204,211,3,0.1201298914478923
205,212,1,0.039371844561789784
206,213,-1,0.0
207,214,3,0.00047785201668919784
208,215,1,0.2121751230558344
209,216,3,0.12920221339898957
210,217,1,0.004508541967118497
211,218,1,0.187079438727606
212,219,-1,0.0
213,220,-1,0.0
214,221,2,1.0
215,222,1,0.0019095287477829562
216,223,3,1.0
217,224,1,0.06112817363008799
218,225,1,0.9810060530160712
219,226,-1,0.0
220,227,7,1.0
221,228,-1,0.0
222,229,1,0.07556519247422334
223,230,3,1.0
224,231,7,0.06538047511083586
225,232,1,0.06811140743259492
226,233,3,0.5984134910521778
227,234,1,0.009448481791968584
228,235,3,0.4179886000444904
229,236,1,0.19430558170318113
230,237,3,0.08360709464395698
231,238,1,0.5693382380154725
232,239,6,1.0
233,240,1,0.1662976609883515
234,241,-1,0.0
235,242,3,1.0
236,243,3,1.0
237,244,1,0.0782057656868403
238,245,-1,0.0
239,246,1,0.01747234083223615
240,247,3,0.0004778523874803378
241,248,1,0.23330100119337124
242,249,1,0.14142673098783007
243,250,1,0.18213255497968503
244,251,3,0.9994165165262611
245,252,3,0.4454306228640692
246,253,-1,0.0
247,254,1,0.0535780587668747
248,255,1,0.03774013115491577
249,256,1,0.09523939165621757
250,257,1,0.1865320136899461
251,258,4,1.0
252,259,1,0.07059084312893361
253,260,6,1.0
254,261,1,0.22779626866299926
255,262,1,0.04062583170110737
256,263,-1,0.0
257,264,5,0.9998538304983661
258,265,3,1.0
259,266,1,0.13064904604801392
260,267,3,1.0
261,268,3,1.0
262,269,6,1.0
263,270,3,0.1770533139164338
264,271,1,0.059512558318835125
265,272,1,0.2610652861027324
266,273,1,0.7730263157894737
267,274,6,1.0
268,275,6,1.0
269,276,1,0.022898208460183894
270,277,1,0.0669191764258206
271,278,-1,0.0
272,279,1,0.09199356926979876
273,280,-1,0.0
274,281,3,1.0
275,282,2,1.0
276,283,1,0.7519999999999999
277,285,-1,0.0
278,286,3,0.9037508735968685
279,287,3,1.0
280,288,3,1.0
